yyyyMMdd,Net sales,Total orders,Total guests
20250126,6116.75,133,331
20250127,4167.53,110,254
20250129,29120.30,361,838
20250130,28540.46,377,758
20250131,36612.67,440,958
20250201,35427.62,434,934
20250202,30702.23,369,861
20250203,19941.34,226,590
20250204,21821.79,267,598
20250205,23663.29,257,623
20250206,27059.25,333,735
20250207,37232.45,428,945
20250208,38920.05,437,993
20250209,25885.18,273,666
20250210,15657.30,202,492
20250211,18758.67,236,514
20250212,21854.95,265,592
20250213,26076.86,333,716
20250214,33617.55,377,817
20250215,39101.88,405,972
20250216,33217.53,319,786
20250217,25103.79,288,695
20250218,18420.43,225,530
20250219,21402.28,251,566
20250220,26200.91,286,660
20250221,34092.39,375,832
20250222,39712.26,370,934
20250223,35129.62,339,879
20250224,18892.08,201,502
20250225,20498.61,229,540
20250226,21357.78,253,572
20250227,25527.95,319,1441
20250228,30984.63,338,767
20250301,40761.70,386,997
20250302,33779.68,330,865
20250303,19207.49,216,532
20250304,20865.60,240,576
20250305,20748.86,224,544
20250306,24996.33,248,630
20250307,32020.30,362,803
20250308,37712.04,374,926
20250309,34251.37,330,862
20250310,19182.20,209,521
20250311,21065.66,221,562
20250312,21592.45,243,611
20250313,23274.45,278,655
20250314,37278.74,423,960
20250315,43281.84,422,1069
20250316,36144.34,368,1202
20250317,34761.99,364,863
20250318,20524.76,239,609
20250319,22139.10,233,573
20250320,26743.54,257,609
20250321,34832.64,356,860
20250322,36811.81,370,915
20250323,33304.94,318,862
20250324,15692.38,190,444
20250325,18732.93,218,541
20250326,19926.67,220,540
20250327,23243.80,247,604
20250328,34584.03,361,835
20250329,39641.25,377,1003
20250330,32281.00,328,873
20250331,15880.30,179,445
20250401,16855.57,188,477
20250402,18447.05,209,474
20250403,22798.20,221,589
20250404,31302.06,343,806
20250405,36280.69,343,914
20250406,30653.96,304,805
20250407,13924.29,154,391
20250408,15956.96,178,455
20250409,21956.09,245,558
20250410,20564.85,225,511
20250411,31201.46,352,790
20250412,40301.86,381,1037
20250413,30180.37,303,771
20250414,15330.61,168,437
20250415,18660.96,225,544
20250416,18349.03,212,508
20250417,31585.74,278,674
20250418,35091.01,338,891
20250419,36955.19,345,951
20250420,27229.71,258,715
20250421,15731.09,175,459
20250422,18517.78,192,492
20250423,21267.31,246,584
20250424,36086.23,171,397
20250425,30141.30,312,779
20250426,35187.04,319,870
20250427,29908.22,278,750
20250428,15050.73,143,380
20250429,17680.28,178,444
20250430,19003.86,190,462
20250501,22141.19,224,533
20250502,28768.61,325,755
20250503,33803.74,309,789
20250504,32054.77,301,836
20250505,14162.61,154,389
20250506,14923.03,184,432
20250507,18009.47,202,489
20250508,21436.59,204,502
20250509,33486.15,328,801
20250510,36642.53,331,898
20250511,28368.05,260,728
20250512,16718.95,192,480
20250513,17505.55,202,468
20250514,17092.63,186,448
20250515,22589.94,242,613
20250516,25640.25,289,652
20250517,32355.81,298,799
20250518,28765.75,267,731
20250519,12552.70,146,356
20250520,16737.55,176,449
20250521,21034.92,208,510
20250522,24878.70,253,610
20250523,28826.05,299,772
20250524,28420.17,281,742
20250525,26447.43,260,736
20250526,18457.17,211,501
20250527,14623.39,170,421
20250528,16305.40,172,426
20250529,21307.25,204,495
20250530,27819.95,279,701
20250531,33789.82,318,832
20250601,25801.60,234,662
20250602,11369.44,122,314
20250603,16613.45,156,389
20250604,17236.69,197,447
20250605,20391.55,210,505
20250606,27113.39,271,671
20250607,32707.65,303,814
20250608,26836.34,239,685
20250609,10390.09,127,329
20250610,15730.24,168,430
20250611,16329.97,166,380
20250612,15792.52,174,401
20250613,27266.88,297,697
20250614,37101.71,346,886
20250615,28882.80,257,725
20250616,11720.60,129,329
20250617,15388.40,175,421
20250618,18241.54,189,460
20250619,20967.35,220,553
20250620,25973.79,255,634
