yyyyMMdd,Net sales,Total orders,Total guests
20200101,19014.99,299,806
20200102,13307.50,240,654
20200103,14953.10,267,682
20200104,18219.55,291,807
20200105,18455.20,321,796
20200106,8197.42,184,419
20200107,7403.15,176,385
20200108,10131.85,202,491
20200109,9755.12,212,473
20200110,13677.61,259,593
20200111,20849.80,346,833
20200112,18674.03,306,811
20200113,7505.85,171,396
20200114,7500.12,168,367
20200115,7526.59,180,370
20200116,9402.23,213,461
20200117,12692.42,235,540
20200118,19663.46,340,827
20200119,21334.63,324,844
20200120,16306.31,303,764
20200121,8311.02,171,414
20200122,9250.40,219,476
20200123,10221.48,220,503
20200124,15519.97,282,640
20200126,20454.91,307,786
20200127,11014.09,238,542
20200128,7326.76,187,366
20200129,7767.40,170,375
20200130,8932.67,181,415
20200131,12019.31,237,550
20200201,19734.50,342,869
20200202,18484.46,307,786
20200203,9790.04,217,461
20200204,7573.97,181,370
20200205,8125.56,195,424
20200206,8786.90,208,459
20200207,15363.45,302,673
20200208,18355.02,345,823
20200209,19355.35,318,842
20200210,8373.83,198,415
20200211,8843.69,204,439
20200212,8879.86,199,430
20200213,9221.93,202,461
20200214,20991.36,408,881
20200215,19499.35,344,795
20200216,20441.11,348,874
20200217,13202.86,258,646
20200218,7721.10,174,381
20200219,9468.48,212,459
20200220,9983.25,221,488
20200221,18224.29,342,872
20200222,18722.00,320,796
20200223,16681.48,232,644
20200224,10400.17,228,511
20200225,8233.27,199,406
20200226,10391.46,202,484
20200227,12445.02,251,589
20200228,15746.99,294,682
20200229,20939.80,325,835
20200301,19064.62,303,765
20200302,9770.34,200,484
20200303,6795.77,168,410
20200304,9282.02,200,434
20200305,9713.95,229,522
20200306,14364.45,293,711
20200307,20256.98,318,824
20200308,18509.40,315,764
20200309,9256.61,201,469
20200310,10194.72,210,461
20200311,8358.75,186,431
20200312,10243.42,218,484
20200313,12495.37,246,605
20200314,17758.53,285,729
20200315,15495.23,265,675
20200316,7285.31,159,378
20200317,4486.11,117,238
20200318,3036.85,79,155
20200319,3064.90,91,163
20200320,2261.00,74,120
20200321,1735.88,66,66
20200322,1807.0,86,86
20200323,1637.0,84,84
20200324,1895.75,93,93
20200325,1055.0,59,51
20200326,730.75,45,44
20200327,1170.50,58,65
20200328,1337.88,79,79
20200329,1392.5,73,74
20200330,789.75,40,40
20200331,625.4,51,50
20200401,770.0,59,60
20200402,1277.75,61,61
20200403,1509.0,67,66
20200404,3634.50,106,106
20200405,3143.25,134,134
20200406,785.25,42,42
20200407,647.5,59,59
20200408,1739.5,77,77
20200409,1565.75,79,78
20200410,2248.25,100,100
20200411,2288.00,89,90
20200412,2165.45,134,137
20200413,509.0,55,54
20200414,845.5,53,55
20200415,1133.0,73,73
20200416,1441.0,82,81
20200417,2109.0,91,111
20200418,2408.70,99,99
20200419,3160.00,137,136
20200420,792.25,73,73
20200421,1632.0,72,72
20200422,2707.5,91,91
20200423,1938.0,86,86
20200424,2721.99,98,98
20200425,2370.25,109,115
20200426,2872.75,148,148
20200427,1195.0,63,63
20200428,847.5,65,65
20200429,934.5,68,68
20200430,784.0,74,74
20200501,1837.5,83,86
20200502,1965.00,102,102
20200503,2277.75,116,115
20200504,698.51,56,56
20200505,1337.0,70,71
20200506,3690.01,120,194
20200507,3535.25,109,191
20200508,4946.45,135,239
20200509,11589.81,195,401
20200510,11872.15,183,395
20200511,2564.00,94,140
20200512,4598.85,115,353
20200513,4734.15,131,239
20200514,3959.95,124,220
20200515,6302.24,163,324
20200516,10718.22,225,624
20200517,11147.87,216,524
20200518,5559.70,145,269
20200519,4579.25,128,232
20200520,4364.20,116,203
