yyyyMMdd,Net sales,Total orders,Total guests
20260101,18854.38,142,337
20260102,39330.81,378,724
20260103,38858.59,339,723
20260104,16919.80,139,339
20260105,12992.45,80,203
20260106,11745.36,99,221
20260107,13199.06,90,414
20260108,16240.61,118,271
20260109,35705.89,362,706
20260110,41198.78,408,808
20260111,18152.34,129,338
20260112,15169.0,97,265
20260113,14787.02,110,250
20260114,15083.0,98,234
20260115,19530.95,142,317
20260116,37176.03,375,702
20260117,47739.61,465,914
20260118,22066.0,147,407
20260119,10190.71,80,189
20260120,11307.5,93,207
20260121,14109.59,83,230
20260122,21362.82,150,355
20260123,41972.44,408,754
20260124,41883.10,397,774
20260125,17603.99,128,315
20260126,11678.5,79,174
20260127,32196.44,7,103
20260128,14306.6,101,229
20260129,23923.43,182,382
20260130,42361.45,342,661
20260131,39494.37,328,661
20260201,24188.46,156,433
20260202,15510.31,68,173
20260203,12761.0,86,213
20260204,16077.55,106,262
20260205,18792.79,141,351
20260206,33829.13,328,646
20260207,51512.14,416,865
20260208,12929.36,88,261
20260209,13087.45,83,219
20260210,27290.85,123,303
20260211,23996.56,134,367
20260212,23799.94,183,388
20260213,40268.27,408,755
20260214,105853.13,523,1019
20260215,25737.30,220,537
20260216,16439.85,99,244
20260217,21531.2,151,337
20260218,16378.85,116,296
20260219,23792.55,172,392
20260220,39486.22,323,630
20260221,48854.24,416,852
20260222,30090.18,150,417
20260223,10801.52,73,174
20260224,13263.7,87,208
20260225,20185.90,149,341
20260226,23431.41,168,385
20260227,32990.97,329,629
20260228,51697.77,446,923
20260301,24675.41,187,471
20260302,13489.75,89,245
20260303,16351.0,85,249
20260304,14561.5,106,244
20260305,21764.45,155,355
20260306,40931.07,332,631
20260307,45859.45,474,849
20260308,21059.86,163,417
20260309,14783.16,89,238
20260310,19740.90,163,485
20260311,16801.25,91,257
20260312,21366.88,170,345
20260313,47741.31,407,832
20260314,56009.51,390,887
20260315,26275.5,197,516
20260316,9813.0,78,187
20260317,12112.9,83,216
20260318,18125.11,129,342
20260319,17997.0,131,307
20260320,48412.51,465,834
20260321,47304.16,402,859
20260322,22648.06,166,451
20260323,9189.52,66,151
20260324,30582.46,1,109
20260325,21364.71,162,390
20260326,24733.72,185,426
20260327,40790.99,415,814
20260328,48639.86,437,882
20260329,23718.05,169,459
20260330,14115.94,82,205
20260331,15320.29,93,244
20260401,13502.50,102,247
20260402,28672.65,203,444
20260403,43362.25,441,756
20260404,47675.73,419,846
20260405,30952.99,208,593
20260406,12322.0,86,198
20260407,11032.00,71,184
