yyyyMMdd,Net sales,Total orders,Total guests
20200601,2151.84,76,133
20200602,2171.86,82,130
20200603,3243.94,87,145
20200604,3048.53,103,163
20200605,2990.62,68,130
20200606,9134.64,129,945
20200607,7615.59,139,329
20200608,2061.62,73,110
20200609,2869.19,91,150
20200610,2850.43,96,164
20200611,3440.94,87,162
20200612,5539.39,107,216
20200613,9456.78,146,345
20200614,7951.10,120,313
20200615,2685.80,76,112
20200616,3096.24,82,131
20200617,2854.03,100,149
20200618,2553.23,98,144
20200619,4674.19,93,168
20200620,8263.74,106,261
20200621,8482.27,122,343
20200622,1793.41,63,93
20200623,3057.35,80,133
20200624,3870.58,90,154
20200625,2828.84,79,118
20200626,3905.92,89,135
20200627,8198.37,104,269
20200628,6464.25,105,254
20200629,2529.38,79,114
20200630,2324.18,69,107
20200701,3170.42,69,113
20200702,2139.71,54,80
20200703,4185.47,71,134
20200704,4602.42,88,168
20200705,6452.08,122,271
20200706,3057.39,81,124
20200707,1875.14,81,108
20200708,1418.10,67,85
20200709,2847.52,78,121
20200710,3052.98,74,107
20200711,7030.47,119,249
20200712,6464.70,114,248
20200713,1948.44,56,86
20200714,3123.77,91,135
20200715,2737.32,83,116
20200716,2410.37,76,112
20200717,4627.47,99,161
20200718,7580.92,119,253
20200719,6362.70,119,286
20200720,2283.99,91,138
20200721,1603.35,59,82
20200722,2292.51,73,116
20200723,3432.74,94,138
20200724,4511.36,94,156
20200725,9443.69,136,285
20200726,8126.76,128,301
20200727,2971.09,83,121
20200728,2734.63,78,131
20200729,2925.49,78,130
20200730,2416.65,86,112
20200731,5823.68,104,199
20200801,9054.47,131,299
20200802,8450.58,129,319
20200803,2532.31,94,131
20200804,2101.05,83,116
20200805,2313.42,87,128
20200806,2763.65,81,128
20200807,4593.19,111,186
20200808,10736.26,148,366
20200809,8669.34,142,340
20200810,2200.21,73,102
20200811,2563.60,89,138
20200812,4317.54,98,173
20200813,2127.24,81,112
20200814,5236.49,102,184
20200815,12083.62,168,393
20200816,8350.14,145,339
20200817,2297.01,72,112
20200818,2788.89,88,127
20200819,3017.55,87,142
20200820,3272.52,93,147
20200821,4737.07,108,176
20200822,11704.65,171,410
20200823,8893.82,146,361
20200824,1594.18,60,82
20200825,3742.47,95,164
20200826,4079.42,87,160
20200827,3595.73,116,175
20200828,7610.12,115,249
20200829,13063.61,171,415
20200830,9552.76,141,378
20200831,3043.86,102,146
20200901,2973.68,96,155
20200902,2912.71,114,158
20200903,2769.56,95,140
20200904,7084.15,126,226
20200905,15141.74,197,505
20200906,11397.32,183,469
20200907,8001.27,122,300
20200908,2694.42,83,130
20200909,3554.14,84,154
20200910,4684.30,102,170
20200911,8786.22,136,301
20200912,14372.30,176,453
20200913,6954.22,124,267
20200914,3843.68,98,167
20200915,3518.42,135,188
20200916,2777.02,102,155
20200917,4868.40,118,188
20200918,9217.18,135,275
20200919,17181.96,190,508
20200920,9432.88,141,374
20200921,2965.77,87,131
20200922,3265.75,100,153
20200923,2586.67,107,161
20200924,5067.46,99,179
20200925,8104.22,133,264
20200926,11662.06,176,403
20200927,10786.24,161,433
20200928,4196.39,105,180
20200929,3027.42,107,157
20200930,4320.88,98,168
20201001,5292.46,105,172
20201002,8042.76,129,257
20201003,13782.45,171,440
20201004,10241.36,145,377
20201005,3768.16,98,172
20201006,3314.49,88,154
20201007,4123.27,106,158
20201008,4759.50,104,196
20201009,7533.81,114,231
20201010,16345.55,205,510
20201011,9961.70,157,445
20201012,3920.89,124,195
20201013,3531.63,96,149
20201014,4300.48,112,188
20201015,2990.07,98,180
20201016,11207.14,160,341
20201017,16590.04,196,545
20201018,9598.32,155,380
20201019,4829.78,101,191
20201020,2244.97,92,119
20201021,3749.70,123,196
20201022,6428.58,122,223
20201023,8062.27,141,258
20201024,15161.56,203,504
20201025,10824.79,176,445
20201026,3194.42,88,144
20201027,4454.72,109,179
20201028,3591.71,111,169
20201029,2996.33,90,133
20201030,8554.21,131,261
20201031,11645.91,184,429
20201101,10281.15,164,396
20201102,3387.53,95,144
20201103,4303.93,116,197
20201104,3113.18,107,157
20201105,4204.82,122,182
20201106,7833.26,136,261
20201107,16718.97,216,490
20201108,12204.55,196,489
20201109,2617.36,64,96
20201110,5344.07,127,228
20201111,1185.34,35,50
20201112,3298.41,84,128
20201113,9758.49,153,284
20201114,16528.98,207,504
20201115,10307.64,171,435
20201116,2782.50,89,126
20201117,4128.63,104,176
20201118,4431.07,95,150
20201119,4743.67,113,180
20201120,10162.30,148,284
20201121,15978.88,193,682
20201122,12345.64,189,485
20201123,3710.65,88,152
20201124,5398.15,115,205
20201125,6284.19,106,218
20201126,,3,3
20201127,7656.44,117,295
20201128,14114.02,183,462
20201129,10496.65,156,431
20201130,4116.80,91,166
20201201,4189.15,108,178
20201202,3342.79,99,161
20201203,4604.18,95,169
20201204,9181.65,127,255
20201205,15672.86,197,475
20201206,12420.91,182,480
20201207,3889.69,92,157
20201208,5697.34,128,201
20201209,4494.65,112,181
20201210,6316.16,146,965
20201211,10665.54,156,304
20201212,19302.15,218,566
20201213,12272.95,187,469
20201214,3982.83,87,134
20201215,4807.22,111,183
20201216,5965.44,122,185
20201217,7111.38,136,248
20201218,10910.71,151,306
20201219,16222.40,204,539
20201220,10370.74,165,402
20201221,6576.02,121,240
20201222,7483.31,133,254
20201223,10129.40,142,303
20201224,3698.15,69,154
20201226,12976.53,152,410
20201227,14442.18,190,535
20201228,9733.89,134,335
20201229,11574.63,181,371
20201230,10951.30,142,325
20201231,21163.12,184,490
20210101,16780.62,213,584
20210102,22049.62,272,747
20210103,11141.30,166,445
20210104,4445.78,94,184
20210105,4012.98,109,190
20210106,7722.27,128,241
20210107,6505.67,151,257
20210108,10343.36,164,334
20210109,19599.95,231,596
20210110,12597.88,185,479
20210111,4616.23,95,169
20210112,4072.81,93,160
20210113,4693.81,139,218
20210114,5440.03,122,212
20210115,12713.17,179,361
20210116,22505.94,290,739
20210117,13823.11,199,528
20210118,7151.49,139,265
20210119,4262.60,98,168
20210120,4588.31,113,192
20210121,7641.44,139,263
20210122,10313.95,151,315
20210123,23100.12,286,739
20210124,11896.29,188,468
20210125,4782.69,129,200
20210126,4707.99,124,191
20210127,5641.55,131,220
20210128,6698.26,149,272
20210129,13194.37,196,442
20210130,22576.70,276,705
20210131,12692.00,191,496
20210201,5294.17,126,215
20210202,5390.02,121,218
20210203,4701.23,101,180
20210204,6456.73,135,242
20210205,16937.24,188,414
20210206,23184.69,268,675
20210207,12298.12,175,448
20210208,5382.59,104,192
20210209,4058.47,106,170
20210210,5450.06,134,223
20210211,8099.22,160,306
20210212,18857.32,240,509
20210213,31995.68,340,830
20210214,30681.65,353,794
20210215,8462.19,151,290
20210216,5856.83,131,228
20210217,7114.61,121,236
20210218,7414.27,143,241
20210219,12472.09,187,389
20210220,28810.86,326,823
20210221,16629.40,243,610
20210222,4602.72,112,200
20210223,5080.90,144,217
20210224,5015.33,116,204
20210225,7739.23,143,285
20210226,16600.18,198,417
20210227,27454.65,275,792
20210228,13967.38,196,506
20210301,5441.51,113,195
20210302,6169.49,136,247
20210303,5034.50,119,201
20210304,7389.94,148,255
20210305,17469.66,209,460
20210306,25474.26,264,726
20210307,15883.78,220,578
20210308,5693.44,121,226
20210309,5737.67,123,229
20210310,6598.60,125,226
20210311,7478.26,135,258
20210312,16367.29,216,472
20210313,25392.11,306,775
20210314,13266.17,198,503
20210315,7640.43,122,255
20210316,7714.58,132,265
20210317,6943.52,122,247
20210318,10417.96,152,331
20210319,17582.92,221,472
20210320,28922.70,312,821
20210321,15998.35,220,583
20210322,9587.10,155,300
20210323,7109.95,121,234
20210324,9102.89,156,302
20210325,10003.41,150,321
20210326,18560.41,209,476
20210327,32114.86,306,822
20210328,16340.36,223,595
20210329,7096.51,118,243
20210330,8422.59,148,271
20210331,11315.76,177,350
20210401,12077.74,179,366
20210402,22860.79,265,646
20210403,29766.24,326,831
20210404,19292.58,251,653
20210405,11340.04,156,509
20210406,9772.34,164,312
20210407,9795.06,173,332
20210408,9712.25,149,309
20210409,21026.25,257,559
20210410,24792.13,281,711
20210411,13101.20,169,462
20210412,7504.12,136,245
