yyyyMMdd,Net sales,Total orders,Total guests
20250102,13935.75,472,269
20250103,17849.79,509,320
20250104,20800.79,534,384
20250106,11370.01,382,200
20250107,17733.97,413,242
20250108,18130.80,415,275
20250109,17947.20,484,298
20250110,20760.59,543,350
20250111,24795.18,595,453
20250113,12384.22,407,225
20250114,17313.56,418,279
20250115,20532.02,450,306
20250116,20099.64,494,341
20250117,26529.55,597,408
20250118,25787.82,609,428
20250120,17217.91,513,328
20250121,15086.18,368,239
20250122,16933.65,422,281
20250123,19797.95,493,336
20250124,40213.90,730,498
20250125,26042.22,431,331
20250127,18294.52,454,304
20250128,18875.53,408,248
20250129,19542.24,440,265
20250130,20760.52,445,291
20250131,23217.95,546,403
20250201,26099.58,593,422
20250203,12900.21,389,307
20250204,17753.72,425,284
20250205,19871.09,476,327
20250206,19459.72,462,299
20250207,25733.70,564,390
20250208,35341.15,735,564
20250210,14252.78,390,227
20250211,15675.40,425,271
20250212,19806.93,467,286
20250213,25649.53,558,374
20250214,26387.59,667,466
20250215,25329.10,601,486
20250217,18150.79,512,299
20250218,15436.09,390,263
20250219,21202.88,434,302
20250220,23678.73,488,320
20250221,20946.95,616,439
20250222,27612.73,640,508
20250224,14795.44,380,254
20250225,22582.85,455,283
20250226,18715.59,459,291
20250227,21670.12,502,320
20250228,24566.91,547,370
20250301,26325.27,616,446
20250303,13593.09,425,243
20250304,19352.49,449,282
20250305,19473.50,438,280
20250306,18111.76,488,315
20250307,23014.59,512,367
20250308,30355.62,646,467
20250310,16612.54,446,258
20250311,20043.25,479,306
20250312,21077.87,462,307
20250313,22265.75,514,329
20250314,21074.86,573,353
20250315,27024.39,620,462
20250317,16015.44,499,284
20250318,17406.17,449,287
20250319,17967.77,453,275
20250320,17894.22,482,320
20250321,18410.74,500,343
20250322,24296.48,590,441
20250324,15228.44,404,221
20250325,18564.67,418,262
20250326,23224.41,473,320
20250327,21255.53,477,298
20250328,26397.25,564,389
20250329,31156.30,671,526
20250331,13324.48,404,219
20250401,17113.43,442,247
20250402,20055.82,510,327
20250403,21661.34,506,335
20250404,23185.08,580,294
20250405,29341.12,601,446
20250407,13899.78,396,214
20250408,18401.01,426,243
20250409,18140.93,429,269
20250410,21054.03,521,307
20250411,23949.46,567,403
20250412,26203.69,641,483
20250414,16204.24,446,259
20250415,20640.68,471,287
20250416,20024.26,472,281
20250417,26857.85,577,433
20250418,31756.16,712,506
20250419,49405.17,973,778
20250421,14582.31,426,264
20250422,20733.56,476,304
20250423,26458.31,488,329
20250424,22960.25,469,302
20250425,27265.76,571,377
20250426,23859.25,546,414
20250428,13631.59,405,158
20250429,18349.41,412,184
20250430,24655.86,443,204
20250501,21396.00,511,271
20250502,21470.83,563,306
20250503,31487.73,614,519
20250505,14886.85,428,185
20250506,16444.48,427,155
20250507,22247.76,479,198
20250508,23745.80,555,235
20250509,34785.82,684,299
20250510,46604.37,839,269
20250512,17378.65,439,149
20250513,22028.58,465,203
20250514,25700.73,486,197
20250515,22494.83,567,243
20250516,23965.69,609,230
20250517,27695.57,636,204
20250519,18305.75,460,178
20250520,22780.85,497,176
20250521,24348.25,505,207
20250522,24144.42,525,182
20250523,28184.15,650,221
20250524,34173.78,688,179
20250526,12043.95,374,135
20250527,16936.44,405,157
20250528,22363.63,447,190
20250529,20916.68,506,201
20250530,23755.45,612,231
20250531,27346.95,652,179
20250602,14807.51,424,154
20250603,17082.67,476,189
20250604,17296.06,472,184
20250605,18060.27,539,209
20250606,23123.84,602,212
20250607,27057.54,603,195
20250609,13584.76,450,151
20250610,17975.78,465,184
20250611,21075.16,512,186
20250612,19052.42,513,190
20250613,19018.12,566,217
20250614,34465.56,711,220
20250616,13487.85,433,159
20250617,15760.22,451,184
20250618,25559.05,490,198
20250619,18867.29,547,219
20250620,14396.77,511,182
20250621,26132.39,651,213
20250623,15823.97,447,160
20250624,21045.31,448,194
20250625,20072.43,510,205
20250626,26236.45,474,185
20250627,23929.94,573,206
20250628,24999.40,598,200
20250630,14973.93,474,198
20250701,16225.23,525,198
20250702,19032.89,549,189
20250703,25064.26,607,218
20250704,14094.52,332,121
20250705,16862.41,476,167
20250707,13106.92,418,155
20250708,16886.68,432,192
20250709,20917.11,438,179
20250710,18612.51,487,219
20250711,22205.29,576,187
20250712,28074.61,583,196
20250714,17349.21,479,178
20250715,18607.79,465,180
20250716,20397.76,468,169
20250717,23168.93,528,210
20250718,21988.17,617,204
20250719,16822.12,565,196
20250721,14367.17,439,160
20250722,16453.79,461,188
20250723,18522.75,500,196
20250724,23442.86,548,217
20250725,22760.89,637,204
